President|Rick Youngblood
1st Vice-President/Programs|Amanda Robertson
2nd Vice-President/Membership|Steve Guy
Secretary/Treasurer|Robin Berlin
Concessions|John Catron
Costumes|Niki Ishee
House/Rentals|Bill Axton, Jacob May
Kids' Camp|Toni Cockrell
Lights|Brent Holifield
Props|Sandra Boutwell, Lauralee Watts
Sets|Tim Flanagan, Emily Hebert
Social Media|Will Hodges
Sound|Joe Blackledge
Special Events/Fundraising|Jan Walker
Warehouse|Missy Sanderson, Ethan Glenn
Website/Historian/Publicity|Wess Hughes
&nbsp;|&nbsp;
Board of Trustees|George Jackson, Tommy Thames, Stan Riles, Rick Youngblood
